Order_ID,Date,City,Category,Product,Quantity,Unit_Price,Discount_Percent,Payment_Method,Customer_Type,Salesperson,Gross_Sales,Discount_Amount,Net_Sales,Month,Month_Number,Quarter,Year
50683,01-01-2025,Navi Mumbai,Electronics,Smartwatch,6,5815.3,0,Credit Card,VIP,Anjali,34891.8,0,34891.8,January,1,Q1,2025
51124,02-01-2025,Thane,Beauty,Sunscreen,5,489.34,0,Debit Card,New,Neha,2446.7,0,2446.7,January,1,Q1,2025
51254,02-01-2025,Kolhapur,Electronics,Tablet,6,13932.76,0,Cash,VIP,Priya,83596.56,0,83596.56,January,1,Q1,2025
51184,02-01-2025,Pune,Sports,Running Shoes,6,9771.29,0,UPI,Returning,Neha,58627.74,0,58627.74,January,1,Q1,2025
50769,03-01-2025,Navi Mumbai,Grocery,Sugar,1,44.79,0,UPI,Returning,Rohan,44.79,0,44.79,January,1,Q1,2025
50817,03-01-2025,Pune,Clothing,Jeans,1,2873.63,5,Credit Card,New,Amit,2873.63,143.68,2729.95,January,1,Q1,2025
50780,04-01-2025,Nashik,Clothing,Jacket,2,5671.12,15,UPI,VIP,Rohan,11342.24,1701.34,9640.9,January,1,Q1,2025
51444,04-01-2025,Pune,Grocery,Rice,5,855.81,0,Debit Card,New,Karan,4279.05,0,4279.05,January,1,Q1,2025
50409,06-01-2025,Nagpur,Sports,Badminton Racket,7,2489.43,5,UPI,New,Vikas,17426.01,871.3,16554.71,January,1,Q1,2025
50108,06-01-2025,Nashik,Furniture,Chair,4,2757.01,5,UPI,New,Karan,11028.04,551.4,10476.64,January,1,Q1,2025
51100,06-01-2025,Mumbai,Grocery,Sugar,2,48.92,0,UPI,Returning,Vikas,97.84,0,97.84,January,1,Q1,2025
51264,07-01-2025,Kolhapur,Grocery,Biscuits,3,114.93,15,UPI,Returning,Priya,344.79,51.72,293.07,January,1,Q1,2025
50572,07-01-2025,Nagpur,Beauty,Shampoo,8,436.87,,Debit Card,Returning,Priya,3494.96,174.75,3320.21,January,1,Q1,2025
50060,07-01-2025,Mumbai,Grocery,Rice,3,1243.49,0,UPI,Returning,Karan,3730.47,0,3730.47,January,1,Q1,2025
50188,07-01-2025,Nashik,Clothing,Kurta,6,1217.6,15,UPI,VIP,Priya,7305.6,1095.84,6209.76,January,1,Q1,2025
50048,07-01-2025,Thane,Clothing,Saree,7,7171.64,10,Credit Card,New,Pooja,50201.48,5020.15,45181.33,January,1,Q1,2025
51474,08-01-2025,Pune,Grocery,Sugar,6,68.78,0,UPI,Returning,Rahul,412.68,0,412.68,January,1,Q1,2025
